language	FLORES101-code	MM100-code
Akrikaans	afr	af
Amharic	amh	am
Arabic	ara	ar
Armenian	hye	hy
Assamese	asm	as
Asturian	ast	ast
Azerbaijani	azj	az
Belarusian	bel	be
Bengali	ben	bn
Bosnian	bos	bs
Bulgarian	bul	bg
Burmese	mya	my
Catalan	cat	ca
Cebuano	ceb	ceb
Chinese Simpl	zho_simpl	zho
Chinese Trad	zho_trad	zh
Croatian	hrv	hr
Czech	ces	cs
Danish	dan	da
Dutch	nld	nl
English	eng	en
Estonian	est	et
Filipino (Tagalog)	tgl	tl
Finnish	fin	fi
French	fra	fr
Fulah	ful	ff
Galician	glg	gl
Ganda	lug	lg
Georgian	kat	ka
German	deu	de
Greek	ell	el
Gujarati	guj	gu
Hausa	hau	ha
Hebrew	heb	he
Hindi	hin	hi
Hungarian	hun	hu
Icelandic	isl	is
Igbo	ibo	ig
Indonesian	ind	id
Irish	gle	ga
Italian	ita	it
Japanese	jpn	ja
Javanese	jav	jv
Kabuverdianu	kea	kea
Kamba	kam	kam
Kannada	kan	kn
Kazakh	kaz	kk
Khmer	khm	km
Korean	kor	ko
Kyrgyz	kir	ky
Lao	lao	lo
Latvian	lav	lv
Lingala	lin	ln
Lithuanian	lit	lt
Luo	luo	luo
Luxembourgish	ltz	lb
Macedonian	mkd	mk
Malay	msa	ms
Malayalam	mal	ml
Maltese	mlt	mt
Maori	mri	mi
Marathi	mar	mr
Mongolian	mon	mn
Nepali	npi	ne
Northern Sotho	nso	ns
Norwegian	nob	no
Nyanja	nya	ny
Occitan	oci	oc
Oriya	ory	or
Oromo	orm	om
Pashto	pus	ps
Persian	fas	fa
Polish	pol	pl
Portuguese	por	pt
Punjabi	pan	pa
Romanian	ron	ro
Russian	rus	ru
Serbian	srp	sr
Shona	sna	sn
Sindhi	snd	sd
Slovak	slk	sk
Slovenian	slv	sl
Somali	som	so
Sorani Kurdish	ckb	ku
Spanish (Latin American)	spa	es
Swahili	swh	sw
Swedish	swe	sv
Tajik	tgk	tg
Tamil	tam	ta
Telugu	tel	te
Thai	tha	th
Turkish	tur	tr
Ukrainian	ukr	uk
Umbundu	umb	umb
Urdu	urd	ur
Uzbek	uzb	uz
Vietnamese	vie	vi
Welsh	cym	cy
Wolof	wol	wo
Xhosa	xho	xh
Yoruba	yor	yo
Zulu	zul	zu
